other_index,filename,source,x,y,w,h,tile_r0,tile_c0,tile_r1,tile_c1,area_px,direction,category,weights
16,other_0016.png,tloz1_1e.png,1206,382,14,15,23,75,24,76,210,,enemy,0.3
16,other_0016.png,tloz1_1e.png,1228,382,14,15,23,76,24,77,210,,enemy,0.3
17,other_0017.png,tloz1_1e.png,581,387,8,8,24,36,24,36,64,,enemy,0.3
17,other_0017.png,tloz1_1e.png,665,387,8,8,24,41,24,42,64,,enemy,0.3
17,other_0017.png,tloz1_1e.png,372,403,8,8,25,23,25,23,64,,enemy,0.3
17,other_0017.png,tloz1_1e.png,599,419,8,8,26,37,26,37,64,,enemy,0.3
17,other_0017.png,tloz1_1e.png,672,419,8,8,26,42,26,42,64,,enemy,0.3
17,other_0017.png,tloz1_1e.png,340,435,8,8,27,21,27,21,64,,enemy,0.3
17,other_0017.png,tloz1_1e.png,596,465,8,8,29,37,29,37,64,,enemy,0.3
17,other_0017.png,tloz1_1e.png,372,466,8,8,29,23,29,23,64,,enemy,0.3
18,other_0018.png,tloz1_1e.png,951,398,13,16,24,59,25,60,208,,enemy,0.3
19,other_0019.png,tloz1_1e.png,901,405,5,8,25,56,25,56,40,,item,0.5
20,other_0020.png,tloz1_1e.png,708,433,8,16,27,44,28,44,128,,item,0.5
21,other_0021.png,tloz1_1e.png,1056,432,16,19,27,66,28,66,304,,enemy,0.3
22,other_0022.png,tloz1_1e.png,1232,448,16,18,28,77,29,77,288,,enemy,0.3
23,other_0023.png,tloz1_1e.png,1056,458,14,15,28,66,29,66,210,,enemy,0.3
24,other_0024.png,tloz1_1e.png,1234,474,14,15,29,77,30,77,210,,enemy,0.3
25,other_0025.png,tloz1_1e.png,1188,481,8,16,30,74,31,74,128,,,
25,other_0025.png,tloz1_1e.png,644,577,8,16,36,40,37,40,128,,,
25,other_0025.png,tloz1_1e.png,420,1009,8,16,63,26,64,26,128,,,
26,other_0026.png,tloz1_1e.png,632,507,5,4,31,39,31,39,20,,,
26,other_0026.png,tloz1_1e.png,888,507,5,4,31,55,31,55,20,,,
27,other_0027.png,tloz1_1e.png,643,507,5,5,31,40,31,40,25,,,
27,other_0027.png,tloz1_1e.png,899,507,5,5,31,56,31,56,25,,,
28,other_0028.png,tloz1_1e.png,632,544,5,5,34,39,34,39,25,,,
28,other_0028.png,tloz1_1e.png,888,544,5,5,34,55,34,55,25,,,
29,other_0029.png,tloz1_1e.png,643,545,5,4,34,40,34,40,20,,,
29,other_0029.png,tloz1_1e.png,899,545,5,4,34,56,34,56,20,,,
30,other_0030.png,tloz1_1e.png,667,558,15,16,34,41,35,42,240,,enemy,0.3
30,other_0030.png,tloz1_1e.png,616,590,15,16,36,38,37,39,240,,enemy,0.3
30,other_0030.png,tloz1_1e.png,657,596,15,16,37,41,38,41,240,,enemy,0.3
30,other_0030.png,tloz1_1e.png,641,613,15,16,38,40,39,40,240,,enemy,0.3
30,other_0030.png,tloz1_1e.png,593,630,15,16,39,37,40,37,240,,enemy,0.3
30,other_0030.png,tloz1_1e.png,600,734,15,16,45,37,46,38,240,,enemy,0.3
30,other_0030.png,tloz1_1e.png,609,772,15,16,48,38,49,38,240,,enemy,0.3
30,other_0030.png,tloz1_1e.png,600,798,15,16,49,37,50,38,240,,enemy,0.3
31,other_0031.png,tloz1_1e.png,848,561,16,8,35,53,35,53,128,,enemy,0.3
31,other_0031.png,tloz1_1e.png,960,579,16,8,36,60,36,60,128,,enemy,0.3
31,other_0031.png,tloz1_1e.png,895,593,16,8,37,55,37,56,128,,enemy,0.3
31,other_0031.png,tloz1_1e.png,928,593,16,8,37,58,37,58,128,,enemy,0.3
31,other_0031.png,tloz1_1e.png,975,610,16,8,38,60,38,61,128,,enemy,0.3
31,other_0031.png,tloz1_1e.png,895,626,16,8,39,55,39,56,128,,enemy,0.3
31,other_0031.png,tloz1_1e.png,927,627,16,8,39,57,39,58,128,,enemy,0.3
31,other_0031.png,tloz1_1e.png,959,641,16,8,40,59,40,60,128,,enemy,0.3
32,other_0032.png,tloz1_1e.png,422,565,10,10,35,26,35,26,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,342,591,10,10,36,21,37,21,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,292,609,10,10,38,18,38,18,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,339,623,10,10,38,21,39,21,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,307,645,10,10,40,19,40,19,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,418,657,10,10,41,26,41,26,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,307,932,10,10,58,19,58,19,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,339,948,10,10,59,21,59,21,100,,enemy,0.3
32,other_0032.png,tloz1_1e.png,305,996,10,10,62,19,62,19,100,,enemy,0.3
33,other_0033.png,tloz1_1e.png,962,611,11,12,38,60,38,60,132,,item,0.5
0,other_0000.png,tloz1_2e.png,288,734,16,16,45,18,46,18,256,,trap,0.1
0,other_0000.png,tloz1_2e.png,464,734,16,16,45,29,46,29,256,,trap,0.1
0,other_0000.png,tloz1_2e.png,288,830,16,16,51,18,52,18,256,,trap,0.1
0,other_0000.png,tloz1_2e.png,464,830,16,16,51,29,52,29,256,,trap,0.1
1,other_0001.png,tloz1_2e.png,334,1263,14,15,78,20,79,21,210,,enemy,0.3
1,other_0001.png,tloz1_2e.png,335,1359,14,15,84,20,85,21,210,,enemy,0.3
4,other_0004.png,tloz1_2e.png,357,1141,6,6,71,22,71,22,36,,,
5,other_0005.png,tloz1_2e.png,56,1183,14,15,73,3,74,4,210,,enemy,0.3
8,other_0008.png,tloz1_2e.png,122,47,8,10,2,7,3,8,80,,,
8,other_0008.png,tloz1_2e.png,122,68,8,10,4,7,4,8,80,,,
8,other_0008.png,tloz1_2e.png,122,89,8,10,5,7,6,8,80,,,
8,other_0008.png,tloz1_2e.png,71,216,8,10,13,4,14,4,80,,,
8,other_0008.png,tloz1_2e.png,49,280,8,10,17,3,18,3,80,,,
8,other_0008.png,tloz1_2e.png,204,304,8,10,19,12,19,13,80,,,
8,other_0008.png,tloz1_2e.png,107,428,8,10,26,6,27,7,80,,,
8,other_0008.png,tloz1_2e.png,131,471,8,10,29,8,30,8,80,,,
8,other_0008.png,tloz1_2e.png,178,1109,8,10,69,11,69,11,80,,,
9,other_0009.png,tloz1_2e.png,157,910,15,16,56,9,57,10,240,,enemy,0.3
11,other_0011.png,tloz1_2e.png,161,65,24,32,4,10,6,11,768,,boss,0.9
12,other_0012.png,tloz1_2e.png,193,83,13,13,5,12,5,12,169,,,
13,other_0013.png,tloz1_2e.png,379,87,10,10,5,23,6,24,100,,,
16,other_0016.png,tloz1_2e.png,374,206,14,15,12,23,13,24,210,,enemy,0.3
17,other_0017.png,tloz1_2e.png,68,563,8,8,35,4,35,4,64,,enemy,0.3
17,other_0017.png,tloz1_2e.png,148,563,8,8,35,9,35,9,64,,enemy,0.3
17,other_0017.png,tloz1_2e.png,212,577,8,8,36,13,36,13,64,,enemy,0.3
17,other_0017.png,tloz1_2e.png,84,579,8,8,36,5,36,5,64,,enemy,0.3
17,other_0017.png,tloz1_2e.png,164,595,8,8,37,10,37,10,64,,enemy,0.3
17,other_0017.png,tloz1_2e.png,100,611,8,8,38,6,38,6,64,,enemy,0.3
17,other_0017.png,tloz1_2e.png,100,627,8,8,39,6,39,6,64,,enemy,0.3
17,other_0017.png,tloz1_2e.png,148,627,8,8,39,9,39,9,64,,enemy,0.3
19,other_0019.png,tloz1_2e.png,389,1317,5,8,82,24,82,24,40,,item,0.5
20,other_0020.png,tloz1_2e.png,436,753,8,16,47,27,48,27,128,,item,0.5
23,other_0023.png,tloz1_2e.png,281,318,14,15,19,17,20,18,210,,enemy,0.3
24,other_0024.png,tloz1_2e.png,356,312,14,15,19,22,20,23,210,,enemy,0.3
25,other_0025.png,tloz1_2e.png,388,257,8,16,16,24,17,24,128,,,
25,other_0025.png,tloz1_2e.png,132,1137,8,16,71,8,72,8,128,,,
26,other_0026.png,tloz1_2e.png,120,155,5,4,9,7,9,7,20,,,
26,other_0026.png,tloz1_2e.png,376,1211,5,4,75,23,75,23,20,,,
27,other_0027.png,tloz1_2e.png,131,155,5,5,9,8,9,8,25,,,
27,other_0027.png,tloz1_2e.png,387,1211,5,5,75,24,75,24,25,,,
28,other_0028.png,tloz1_2e.png,376,1248,5,5,78,23,78,23,25,,,
29,other_0029.png,tloz1_2e.png,131,193,5,4,12,8,12,8,20,,,
29,other_0029.png,tloz1_2e.png,387,1249,5,4,78,24,78,24,20,,,
30,other_0030.png,tloz1_2e.png,87,910,15,16,56,5,57,6,240,,enemy,0.3
30,other_0030.png,tloz1_2e.png,102,942,15,16,58,6,59,7,240,,enemy,0.3
30,other_0030.png,tloz1_2e.png,140,942,15,16,58,8,59,9,240,,enemy,0.3
30,other_0030.png,tloz1_2e.png,86,974,15,16,60,5,61,6,240,,enemy,0.3
31,other_0031.png,tloz1_2e.png,397,773,16,8,48,24,48,25,128,,enemy,0.3
31,other_0031.png,tloz1_2e.png,336,811,16,8,50,21,51,21,128,,enemy,0.3
31,other_0031.png,tloz1_2e.png,336,1090,16,8,68,21,68,21,128,,enemy,0.3
31,other_0031.png,tloz1_2e.png,304,1106,16,8,69,19,69,19,128,,enemy,0.3
31,other_0031.png,tloz1_2e.png,448,1106,16,8,69,28,69,28,128,,enemy,0.3
31,other_0031.png,tloz1_2e.png,352,1122,16,8,70,22,70,22,128,,enemy,0.3
31,other_0031.png,tloz1_2e.png,415,1153,16,8,72,25,72,26,128,,enemy,0.3
31,other_0031.png,tloz1_2e.png,336,1154,16,8,72,21,72,21,128,,enemy,0.3
32,other_0032.png,tloz1_2e.png,359,739,10,10,46,22,46,23,100,,enemy,0.3
32,other_0032.png,tloz1_2e.png,401,813,10,10,50,25,51,25,100,,enemy,0.3
33,other_0033.png,tloz1_2e.png,162,1011,11,12,63,10,63,10,132,,item,0.5
34,other_0034.png,tloz1_2e.png,120,192,5,5,12,7,12,7,25,,,
35,other_0035.png,tloz1_2e.png,310,206,14,15,12,19,13,20,210,,enemy,0.3
36,other_0036.png,tloz1_2e.png,114,228,13,16,14,7,15,7,208,,enemy,0.3
37,other_0037.png,tloz1_2e.png,337,243,14,16,15,21,16,21,224,,enemy,0.3
38,other_0038.png,tloz1_2e.png,82,249,13,16,15,5,16,5,208,,enemy,0.3
38,other_0038.png,tloz1_2e.png,82,280,13,16,17,5,18,5,208,,enemy,0.3
39,other_0039.png,tloz1_2e.png,401,274,14,16,17,25,18,25,224,,enemy,0.3
39,other_0039.png,tloz1_2e.png,305,280,14,16,17,19,18,19,224,,enemy,0.3
40,other_0040.png,tloz1_2e.png,304,303,17,17,18,19,19,20,289,,enemy,0.3
41,other_0041.png,tloz1_2e.png,313,303,4,6,18,19,19,19,24,,enemy,0.3
42,other_0042.png,tloz1_2e.png,96,399,11,34,24,6,27,6,374,,enemy,0.3
43,other_0043.png,tloz1_2e.png,139,473,32,13,29,8,30,10,416,,enemy,0.3
44,other_0044.png,tloz1_2e.png,436,558,28,18,34,27,35,28,504,,boss,0.9
45,other_0045.png,tloz1_2e.png,196,609,8,16,38,12,39,12,128,,,
46,other_0046.png,tloz1_2e.png,158,735,14,15,45,9,46,10,210,,enemy,0.3
46,other_0046.png,tloz1_2e.png,142,767,14,15,47,8,48,9,210,,enemy,0.3
47,other_0047.png,tloz1_2e.png,163,799,14,15,49,10,50,11,210,,enemy,0.3
48,other_0048.png,tloz1_2e.png,164,833,8,14,52,10,52,10,112,,enemy,0.3
49,other_0049.png,tloz1_2e.png,141,1086,13,16,67,8,68,9,208,,enemy,0.3
50,other_0050.png,tloz1_2e.png,49,1128,13,16,70,3,71,3,208,,enemy,0.3
50,other_0050.png,tloz1_2e.png,385,1293,13,16,80,24,81,24,208,,enemy,0.3
50,other_0050.png,tloz1_2e.png,465,1309,13,16,81,29,82,29,208,,enemy,0.3
50,other_0050.png,tloz1_2e.png,449,1339,13,16,83,28,84,28,208,,enemy,0.3
0,other_0000.png,tloz2_1e.png,800,558,16,16,34,50,35,50,256,,trap,0.1
0,other_0000.png,tloz2_1e.png,976,558,16,16,34,61,35,61,256,,trap,0.1
0,other_0000.png,tloz2_1e.png,800,654,16,16,40,50,41,50,256,,trap,0.1
0,other_0000.png,tloz2_1e.png,976,654,16,16,40,61,41,61,256,,trap,0.1
5,other_0005.png,tloz2_1e.png,607,207,14,15,12,37,13,38,210,,enemy,0.3
5,other_0005.png,tloz2_1e.png,606,271,14,15,16,37,17,38,210,,enemy,0.3
5,other_0005.png,tloz2_1e.png,681,911,14,15,56,42,57,43,210,,enemy,0.3
8,other_0008.png,tloz2_1e.png,844,821,8,10,51,52,51,53,80,,,
8,other_0008.png,tloz2_1e.png,944,832,8,10,52,59,52,59,80,,,
12,other_0012.png,tloz2_1e.png,641,83,13,13,5,40,5,40,169,,,
13,other_0013.png,tloz2_1e.png,379,87,10,10,5,23,6,24,100,,,
18,other_0018.png,tloz2_1e.png,663,206,13,16,12,41,13,42,208,,enemy,0.3
20,other_0020.png,tloz2_1e.png,900,961,8,16,60,56,61,56,128,,item,0.5
25,other_0025.png,tloz2_1e.png,644,785,8,16,49,40,50,40,128,,,
25,other_0025.png,tloz2_1e.png,132,1137,8,16,71,8,72,8,128,,,
25,other_0025.png,tloz2_1e.png,644,1313,8,16,82,40,83,40,128,,,
31,other_0031.png,tloz2_1e.png,882,576,16,8,36,55,36,56,128,,enemy,0.3
32,other_0032.png,tloz2_1e.png,804,595,10,10,37,50,37,50,100,,enemy,0.3
33,other_0033.png,tloz2_1e.png,978,1091,11,12,68,61,68,61,132,,item,0.5
36,other_0036.png,tloz2_1e.png,962,812,13,16,50,60,51,60,208,,enemy,0.3
48,other_0048.png,tloz2_1e.png,724,209,8,14,13,45,13,45,112,,,
48,other_0048.png,tloz2_1e.png,900,609,8,14,38,56,38,56,112,,,
50,other_0050.png,tloz2_1e.png,609,226,13,16,14,38,15,38,208,,enemy,0.3
50,other_0050.png,tloz2_1e.png,609,934,13,16,58,38,59,38,208,,enemy,0.3
51,other_0051.png,tloz2_1e.png,574,78,28,18,4,35,5,37,504,,boss,0.9
52,other_0052.png,tloz2_1e.png,658,249,13,16,15,41,16,41,208,,enemy,0.3
53,other_0053.png,tloz2_1e.png,583,382,14,15,23,36,24,37,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,632,430,14,15,26,39,27,40,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,329,1086,14,15,67,20,68,21,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,297,1102,14,15,68,18,69,19,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,346,1118,14,15,69,21,70,22,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,635,1118,14,15,69,39,70,40,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,379,1134,14,15,70,23,71,24,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,330,1150,14,15,71,20,72,21,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,586,1182,14,15,73,36,74,37,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,633,1294,14,15,80,39,81,40,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,666,1294,14,15,80,41,81,42,210,,enemy,0.3
53,other_0053.png,tloz2_1e.png,585,1358,14,15,84,36,85,37,210,,enemy,0.3
54,other_0054.png,tloz2_1e.png,837,387,8,8,24,52,24,52,64,,enemy,0.3
54,other_0054.png,tloz2_1e.png,804,403,8,8,25,50,25,50,64,,enemy,0.3
54,other_0054.png,tloz2_1e.png,980,403,8,8,25,61,25,61,64,,enemy,0.3
54,other_0054.png,tloz2_1e.png,852,437,8,8,27,53,27,53,64,,enemy,0.3
54,other_0054.png,tloz2_1e.png,932,467,8,8,29,58,29,58,64,,enemy,0.3
55,other_0055.png,tloz2_1e.png,673,390,14,15,24,42,25,42,210,,enemy,0.3
55,other_0055.png,tloz2_1e.png,609,404,14,15,25,38,26,38,210,,enemy,0.3
55,other_0055.png,tloz2_1e.png,657,422,14,15,26,41,27,41,210,,enemy,0.3
55,other_0055.png,tloz2_1e.png,600,1086,14,15,67,37,68,38,210,,enemy,0.3
55,other_0055.png,tloz2_1e.png,593,1270,14,15,79,37,80,37,210,,enemy,0.3
55,other_0055.png,tloz2_1e.png,721,1281,14,15,80,45,80,45,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,721,401,15,14,25,45,25,45,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,561,409,15,14,25,35,26,35,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,545,454,15,14,28,34,29,34,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,675,735,15,14,45,42,46,43,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,706,751,15,14,46,44,47,45,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,673,797,15,14,49,42,50,42,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,49,1107,15,14,69,3,70,3,210,,enemy,0.3
56,other_0056.png,tloz2_1e.png,47,1135,15,14,70,2,71,3,210,,enemy,0.3
57,other_0057.png,tloz2_1e.png,900,433,8,15,27,56,27,56,120,,,
58,other_0058.png,tloz2_1e.png,888,507,5,4,31,55,31,55,20,,,
58,other_0058.png,tloz2_1e.png,888,683,5,4,42,55,42,55,20,,,
58,other_0058.png,tloz2_1e.png,888,859,5,4,53,55,53,55,20,,,
58,other_0058.png,tloz2_1e.png,888,1035,5,4,64,55,64,55,20,,,
59,other_0059.png,tloz2_1e.png,899,507,5,5,31,56,31,56,25,,,
59,other_0059.png,tloz2_1e.png,899,683,5,5,42,56,42,56,25,,,
59,other_0059.png,tloz2_1e.png,899,859,5,5,53,56,53,56,25,,,
59,other_0059.png,tloz2_1e.png,899,1035,5,5,64,56,64,56,25,,,
60,other_0060.png,tloz2_1e.png,888,544,5,5,34,55,34,55,25,,,
60,other_0060.png,tloz2_1e.png,888,720,5,5,45,55,45,55,25,,,
60,other_0060.png,tloz2_1e.png,888,896,5,5,56,55,56,55,25,,,
60,other_0060.png,tloz2_1e.png,888,1072,5,5,67,55,67,55,25,,,
61,other_0061.png,tloz2_1e.png,899,545,5,4,34,56,34,56,20,,,
61,other_0061.png,tloz2_1e.png,899,721,5,4,45,56,45,56,20,,,
61,other_0061.png,tloz2_1e.png,899,897,5,4,56,56,56,56,20,,,
61,other_0061.png,tloz2_1e.png,899,1073,5,4,67,56,67,56,20,,,
62,other_0062.png,tloz2_1e.png,575,564,16,11,35,35,35,36,176,,,
63,other_0063.png,tloz2_1e.png,568,573,9,18,35,35,36,36,162,,,
64,other_0064.png,tloz2_1e.png,577,589,8,10,36,36,37,36,80,,,
65,other_0065.png,tloz2_1e.png,600,595,8,26,37,37,38,37,208,,,
66,other_0066.png,tloz2_1e.png,647,609,5,16,38,40,39,40,80,,,
67,other_0067.png,tloz2_1e.png,585,619,16,11,38,36,39,37,176,,,
68,other_0068.png,tloz2_1e.png,957,629,10,10,39,59,39,60,100,,enemy,0.3
69,other_0069.png,tloz2_1e.png,907,654,10,10,40,56,41,57,100,,enemy,0.3
70,other_0070.png,tloz2_1e.png,591,735,15,14,45,36,46,37,210,,enemy,0.3
70,other_0070.png,tloz2_1e.png,559,751,15,14,46,34,47,35,210,,enemy,0.3
70,other_0070.png,tloz2_1e.png,76,1119,15,14,69,4,70,5,210,,enemy,0.3
70,other_0070.png,tloz2_1e.png,109,1119,15,14,69,6,70,7,210,,enemy,0.3
70,other_0070.png,tloz2_1e.png,77,1151,15,14,71,4,72,5,210,,enemy,0.3
70,other_0070.png,tloz2_1e.png,44,1167,15,14,72,2,73,3,210,,enemy,0.3
71,other_0071.png,tloz2_1e.png,952,750,13,16,46,59,47,60,208,,enemy,0.3
72,other_0072.png,tloz2_1e.png,978,785,13,15,49,61,49,61,195,,enemy,0.3
73,other_0073.png,tloz2_1e.png,964,786,8,8,49,60,49,60,64,,,
73,other_0073.png,tloz2_1e.png,980,815,8,8,50,61,51,61,64,,,
74,other_0074.png,tloz2_1e.png,901,789,5,8,49,56,49,56,40,,item,0.5
75,other_0075.png,tloz2_1e.png,949,946,6,9,59,59,59,59,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,853,962,6,9,60,53,60,53,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,981,994,6,9,62,61,62,61,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,821,1010,6,9,63,51,63,51,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,917,1010,6,9,63,57,63,57,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,862,1122,6,9,70,53,70,54,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,946,1122,6,9,70,59,70,59,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,965,1159,6,9,72,60,72,60,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,853,1178,6,9,73,53,74,53,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,821,1180,6,9,73,51,74,51,54,,enemy,0.3
75,other_0075.png,tloz2_1e.png,921,1186,6,9,74,57,74,57,54,,enemy,0.3
76,other_0076.png,tloz2_1e.png,657,949,13,16,59,41,60,41,208,,enemy,0.3
76,other_0076.png,tloz2_1e.png,673,980,13,16,61,42,62,42,208,,enemy,0.3
76,other_0076.png,tloz2_1e.png,593,982,13,16,61,37,62,37,208,,enemy,0.3
0,other_0000.png,tloz2_2e.png,288,30,16,16,1,18,2,18,256,,trap,0.1
0,other_0000.png,tloz2_2e.png,464,30,16,16,1,29,2,29,256,,trap,0.1
0,other_0000.png,tloz2_2e.png,288,126,16,16,7,18,8,18,256,,trap,0.1
0,other_0000.png,tloz2_2e.png,464,126,16,16,7,29,8,29,256,,trap,0.1
0,other_0000.png,tloz2_2e.png,544,910,16,16,56,34,57,34,256,,trap,0.1
0,other_0000.png,tloz2_2e.png,720,910,16,16,56,45,57,45,256,,trap,0.1
0,other_0000.png,tloz2_2e.png,544,1006,16,16,62,34,63,34,256,,trap,0.1
0,other_0000.png,tloz2_2e.png,720,1006,16,16,62,45,63,45,256,,trap,0.1
4,other_0004.png,tloz2_2e.png,101,965,6,6,60,6,60,6,36,,,
7,other_0007.png,tloz2_2e.png,304,1077,16,1,67,19,67,19,16,,,
7,other_0007.png,tloz2_2e.png,304,1093,16,1,68,19,68,19,16,,,
7,other_0007.png,tloz2_2e.png,304,1109,16,1,69,19,69,19,16,,,
7,other_0007.png,tloz2_2e.png,304,1125,16,1,70,19,70,19,16,,,
7,other_0007.png,tloz2_2e.png,304,1141,16,1,71,19,71,19,16,,,
7,other_0007.png,tloz2_2e.png,304,1157,16,1,72,19,72,19,16,,,
7,other_0007.png,tloz2_2e.png,432,1157,16,1,72,27,72,27,16,,,
7,other_0007.png,tloz2_2e.png,304,1173,16,1,73,19,73,19,16,,,
7,other_0007.png,tloz2_2e.png,432,1173,16,1,73,27,73,27,16,,,
7,other_0007.png,tloz2_2e.png,304,1189,16,1,74,19,74,19,16,,,
7,other_0007.png,tloz2_2e.png,432,1189,16,1,74,27,74,27,16,,,
8,other_0008.png,tloz2_2e.png,111,269,8,10,16,6,17,7,80,,,
8,other_0008.png,tloz2_2e.png,60,282,8,10,17,3,18,4,80,,,
8,other_0008.png,tloz2_2e.png,94,286,8,10,17,5,18,6,80,,,
8,other_0008.png,tloz2_2e.png,68,292,8,10,18,4,18,4,80,,,
8,other_0008.png,tloz2_2e.png,131,423,8,10,26,8,27,8,80,,,
8,other_0008.png,tloz2_2e.png,640,453,8,10,28,40,28,40,80,,,
